CountryCode,ReporterName,FSECI,VulnerabilityCategory,PurchasingPowerScore,StabilityScore,FoodIndependenceScore,CrisisResilienceScore
ABW,Aruba,59.121570951520226,Moderate,0.006110341876239467,80.76722221396165,99.99388357298913,94.64425031887647
AFG,Afghanistan,60.522450813952865,Moderate,0.032726760649358866,82.91642595707181,99.9821457213597,98.92730407092844
AGO,Angola,58.36260669132331,Moderate,2.346660442350994,72.57910710982101,98.50666684566687,98.47582694955919
AIA,Anguila,57.45386895230552,Moderate,0.0003778387044518423,71.26584016998677,99.9998603911932,98.18652294011812
ALB,Albania,53.19133676455782,Moderate,0.06890490816202471,56.870492104409124,99.92169205739934,94.82629304559482
AND,Andorra,59.442306883003866,Moderate,0.005298634611058103,78.7029275778133,99.99421303293262,98.82938929925074
ANT,Netherlands Antilles,62.065910723348864,Moderate,0.006564867348987237,89.66662799295388,99.99850660171461,98.2362735059766
ARE,United Arab Emirates,56.19240575124254,Moderate,6.874135160773117,62.71694551241116,92.18847633187526,98.34763400247051
ARG,Argentina,58.46697098828834,Moderate,2.536418662633769,73.72293642879252,96.65653121681297,99.08592052902897
ARM,Armenia,55.581168706052054,Moderate,0.06370424185018117,63.64805645096771,99.93049782892946,98.30379271438336
ATG,Antigua and Barbuda,60.73551559100579,Moderate,0.00017257731347263997,84.57364436642602,99.99987818445213,97.96034230224569
AUS,Australia,55.65788758166939,Moderate,7.540167267598452,62.17485236223271,88.34700552705496,99.02857421020381
AUT,Austria,58.28792753666053,Moderate,5.905469506865657,72.58640912080713,91.14178714849064,99.23026749678817
AZE,Azerbaijan,51.00464505625641,Moderate,0.7123687616979385,51.034848520512774,99.15810250443528,90.82491679323437
BDI,Burundi,58.783202968758644,Moderate,0.0070098227728656835,77.13671211621887,99.99107066271034,97.49178684595677
BEL,Belgium,64.0201724140118,Moderate,17.042991074936566,87.16855875879556,82.18232223471027,99.13260700571526
BEN,Benin,57.48045875562974,Moderate,0.022690604921505226,71.4034348192668,99.97523997552827,98.13305171992427
BFA,Burkina Faso,51.300479775132004,Moderate,0.08441998168831384,46.71079295264061,99.9002237448382,98.06594897206647
BGD,Bangladesh,52.86232459260092,Moderate,0.5593184977263727,51.74577436050246,99.36440392132921,99.28619372002613
BGR,Bulgaria,56.69530119401408,Moderate,1.022873782264172,67.15246106705666,98.83763658502099,98.90826393226625
BHR,Bahrain,57.594689085616714,Moderate,0.5956837605292283,71.81917174069858,99.3772333807384,97.77980079054579
BHS,"Bahamas, The",60.10580530083453,Moderate,0.0170493527018623,81.66652971795288,99.98294456284586,98.4330834266574
BIH,Bosnia and Herzegovina,60.20306928106896,Moderate,0.27071146373488875,81.57264669799864,99.77850383678751,98.79728913452297
BLR,Belarus,57.91738934047096,Moderate,1.3508958332960432,72.20017942129101,98.52628890586078,98.4463658116122
BLX,Belgium-Luxembourg,63.72879484550573,Moderate,7.678865221023,87.67816031735336,96.16056459733548,99.4476950967112
BLZ,Belize,60.121151825268555,Moderate,0.01188827562837848,81.87546427681049,99.98378041762246,98.25684388035751
BMU,Bermuda,52.83932302352834,Moderate,0.001375309767172422,54.429110757727116,99.99930930239668,96.15851057599355
BOL,Bolivia,54.14308353141319,Moderate,0.28961541507970784,57.66189846110789,99.60506161420125,98.52615599009034
BRA,Brazil,56.46712635191466,Moderate,6.978618326017265,64.9369944558908,89.84927420211378,99.10253241706579
BRB,Barbados,60.948532718755565,Moderate,0.012707336370647622,84.84879840840327,99.9826635167898,98.67676422783528
BRN,Brunei,57.572422468732725,Moderate,0.3600154927050388,71.23501204607388,99.60724921137762,98.58107096245982
BTN,Bhutan,56.29701693153437,Moderate,0.019359296607880678,66.77207345716336,99.98943706493606,97.99667700221782
BWA,Botswana,60.38636157210098,Moderate,0.28388837026951136,82.40908418112298,99.72900985414576,98.69463813198381
CAF,Central African Republic,59.189896738927956,Moderate,0.005344620536563615,81.15418002498535,99.99367643868514,94.50372913878398
CAN,Canada,60.27875646002593,Moderate,16.632819253153162,78.98828928532862,74.29472604474876,99.25626095570207
CHE,Switzerland,56.59717133656852,Moderate,9.571455672847094,65.39129501243474,85.20774181724016,99.28894867257658
CHL,Chile,56.12466350988409,Moderate,2.4935204181821806,64.82627248182641,96.37305257776741,98.85376363755118
CHN,China,59.17902530292264,Moderate,64.03267648633442,55.319503539035836,15.593287229850784,99.09527600988235
CIV,Cote d'Ivoire,58.96145616584104,Moderate,0.46501368950579375,76.29416433794441,99.47156846922424,99.15423298091532
CMR,Cameroon,58.05494184301098,Moderate,0.16776234727272946,75.40612467482924,99.82460574000888,95.89886352378217
COG,"Congo, Rep.",57.74105530119171,Moderate,0.3994389000858459,72.66309716293374,99.6913379845004,97.48604899264075
COK,Cook Islands,59.691629283708195,Moderate,0.0003065264886794859,81.3547835837598,99.99985790363048,96.76427261385555
COL,Colombia,56.0806793850243,Moderate,1.4750888317307154,64.75466268749202,97.98850705414824,98.89015605607943
COM,Comoros,52.632441052893356,Moderate,0.0008719334214529594,54.309136211411136,99.9989623412959,95.2752967754194
CPV,Cape Verde,55.7519019477386,Moderate,0.0021478164889209717,64.14034556161391,99.9977481934928,98.58257091432719
CRI,Costa Rica,59.499508457550604,Moderate,0.4392699424627245,78.53616459599068,99.46088854443221,99.09772559902268
